date,TOTALCOST,VENDOR_ID,EXPENSECATEGORY_ID,status
"2017-08-21 07:00:00",20.00,52550,31559,2
"2017-08-21 07:00:00",8.68,618163,31567,2
"2017-08-21 07:00:00",8.17,618220,31567,2
"2017-08-21 07:00:00",36.04,52550,31559,2
"2017-08-21 07:00:00",23.87,618163,31567,2
"2017-08-21 07:00:00",3.20,15196,31559,2
"2017-08-21 07:00:00",5.19,84428,31567,2
"2017-08-21 07:00:00",5.88,26477,31567,2
"2017-08-21 07:00:00",32.15,52550,31559,2
"2017-08-21 07:00:00",1.09,26477,31567,2
"2017-08-21 07:00:00",11.74,8233541,31567,2
"2017-08-18 07:00:00",9.38,26477,31567,2
"2017-08-17 07:00:00",2.43,15196,31559,2
"2017-08-17 07:00:00",33.50,8233542,31559,2
"2017-08-17 07:00:00",15.00,1693952,31567,2
"2017-08-17 07:00:00",10.07,52550,31559,2
"2017-08-17 07:00:00",1.08,26477,31567,2
"2017-08-17 07:00:00",15.11,8233543,31567,2
"2017-08-17 07:00:00",5.40,26477,31567,2
"2017-08-16 07:00:00",512.00,8233544,31669,2
"2017-08-16 07:00:00",80.00,8233545,31547,2
"2017-08-16 07:00:00",10.24,26477,31567,2
"2017-08-16 07:00:00",13.08,3363910,31584,2
"2017-08-15 07:00:00",5.45,618185,31567,2
"2017-08-15 07:00:00",41.54,52550,31559,2
"2017-08-15 07:00:00",15.04,52550,31559,2
"2017-08-15 07:00:00",0.42,52550,31559,2
"2017-08-15 07:00:00",5.19,84428,31567,2
"2017-08-14 07:00:00",50.00,8233546,31584,2
"2017-08-14 07:00:00",2.42,15196,31559,2
"2017-08-14 07:00:00",15.33,618163,31567,2
"2017-08-14 07:00:00",1.52,84428,31567,2
"2017-08-14 00:00:00",25.01,8233547,31559,2
"2017-08-14 07:00:00",8.63,26477,31567,2
"2017-08-14 07:00:00",4.48,15196,31559,2
"2017-08-14 07:00:00",13.03,1344959,31567,2
"2017-08-14 07:00:00",45.42,52550,31559,2
"2017-08-14 07:00:00",61.50,1122897,31924,3
"2017-08-14 07:00:00",6.39,84428,31567,2
"2017-08-14 07:00:00",2.39,3964454,31584,3
"2017-08-11 07:00:00",99.46,8233548,31543,2
"2017-08-11 07:00:00",1.99,618163,31567,2
"2017-08-11 07:00:00",6.49,618163,31567,2
"2017-08-11 07:00:00",2.42,15196,31559,2
"2017-08-11 07:00:00",4.32,26477,31567,2
"2017-08-11 07:00:00",10.80,71631,31567,2
"2017-08-10 07:00:00",30.00,15196,31559,2
"2017-08-10 07:00:00",6.48,618160,31567,2
"2017-08-08 07:00:00",28.83,11838,31584,2
"2017-08-08 07:00:00",20.18,5893113,31559,2
"2017-08-08 07:00:00",5.40,618185,31567,2
"2017-08-08 07:00:00",20.57,771790,31567,2
"2017-08-08 07:00:00",10.62,3363910,31584,2
"2017-08-08 07:00:00",4.37,618220,31567,2
"2017-08-07 07:00:00",100.00,8233549,31547,2
"2017-08-07 07:00:00",1.74,2786966,31567,2
"2017-08-07 07:00:00",25.01,618215,31559,2
"2017-08-07 07:00:00",45.89,52550,31559,2
"2017-08-07 07:00:00",5.97,71631,31567,2
"2017-08-07 07:00:00",14.71,8233550,31567,2
"2017-08-07 07:00:00",25.09,15196,31559,2
"2017-08-07 07:00:00",3.20,15196,31559,2
"2017-08-07 07:00:00",15.03,52550,31559,2
"2017-08-07 07:00:00",4.37,618220,31567,2
"2017-08-07 07:00:00",4.23,26477,31567,2
"2017-08-07 07:00:00",6.08,84428,31567,2
"2017-08-07 07:00:00",10.00,8233551,174187,2
"2017-08-07 07:00:00",4.36,71631,31567,2
"2017-08-04 07:00:00",275.00,8233556,31543,3
"2017-08-04 07:00:00",10.02,618186,31559,2
"2017-08-04 07:00:00",15.03,8233560,31585,2
"2017-08-04 07:00:00",5.40,26477,31567,2
"2017-08-04 07:00:00",14.34,26477,31567,2
"2017-08-03 07:00:00",2.42,15196,31559,2
"2017-08-03 07:00:00",25.04,8233561,31559,2
"2017-08-03 07:00:00",4.09,625010,31566,2
"2017-08-02 07:00:00",20.00,8233562,31547,2
"2017-08-02 07:00:00",8.63,997887,31567,2
"2017-08-01 07:00:00",10.80,618185,31567,2
"2017-08-01 07:00:00",13.48,3363910,31584,2
"2017-07-31 07:00:00",9.11,8233563,31559,2
"2017-07-31 07:00:00",4.35,8233564,31611,2
"2017-07-31 07:00:00",2.99,2786966,31567,2
"2017-07-31 07:00:00",25.00,5893113,31559,2
"2017-07-31 07:00:00",15.05,15196,31559,2
"2017-07-31 07:00:00",5.41,8233565,31567,2
"2017-07-31 07:00:00",20.01,618186,31559,2
"2017-07-31 07:00:00",2.42,15196,31559,2
"2017-07-31 07:00:00",30.84,52550,31559,2
"2017-07-31 07:00:00",5.52,8233566,31611,2
"2017-07-31 07:00:00",5.66,12151,31567,2
"2017-07-31 07:00:00",34.04,52550,31559,2
"2017-07-31 07:00:00",7.60,12151,31567,2
"2017-07-31 07:00:00",10.01,8233567,31559,2
"2017-07-31 07:00:00",1.09,26477,31567,2
"2017-07-31 07:00:00",7.59,8233568,31611,3
"2017-07-31 07:00:00",5.44,618185,31567,2
"2017-07-31 07:00:00",35.07,52550,31559,2
"2017-07-31 07:00:00",5.42,26477,31567,2
"2017-07-31 07:00:00",1.08,26477,31567,2
"2017-07-31 07:00:00",7.70,26477,31567,2
"2017-07-28 07:00:00",2.43,15196,31559,2
"2017-07-27 07:00:00",2.14,1693953,31559,2
"2017-07-27 07:00:00",34.00,8233542,31559,2
"2017-07-27 07:00:00",20.00,8233569,31559,2
"2017-07-26 07:00:00",2.49,15196,31559,2
"2017-07-26 07:00:00",2.16,26477,31567,2
"2017-07-26 07:00:00",6.48,26477,31567,2
"2017-07-25 07:00:00",4.53,15196,31559,2
"2017-07-25 07:00:00",8.58,1078008,31543,3
"2017-07-25 07:00:00",15.10,933764,31567,2
"2017-07-25 07:00:00",3.78,26477,31567,2
"2017-07-24 07:00:00",7.37,11838,31584,2
"2017-07-24 07:00:00",10.00,618186,31559,2
"2017-07-24 07:00:00",5.16,11838,31584,2
"2017-07-24 07:00:00",5.45,618185,31567,2
"2017-07-24 07:00:00",25.03,52550,31559,2
"2017-07-24 07:00:00",5.44,618185,31567,2
"2017-07-24 07:00:00",5.40,26477,31567,2
"2017-07-24 07:00:00",25.05,8233567,31559,2
"2017-07-24 07:00:00",8.61,84428,31567,2
"2017-07-24 07:00:00",5.50,8233570,31567,2
"2017-07-24 07:00:00",3.71,1458935,31567,2
"2017-07-24 07:00:00",25.02,52550,31559,2
"2017-07-24 07:00:00",12.42,15196,31559,2
"2017-07-24 07:00:00",271.47,11912,31542,2
"2017-07-24 07:00:00",8.82,618220,31567,2
"2017-07-24 07:00:00",6.51,26477,31567,2
"2017-07-24 07:00:00",5.23,71631,31567,2
"2017-07-21 07:00:00",37.70,618186,31559,2
"2017-07-21 07:00:00",2.43,15196,31559,2
"2017-07-21 07:00:00",25.01,8233567,31559,2
"2017-07-21 07:00:00",9.33,618163,31567,2
"2017-07-21 07:00:00",7.56,26477,31567,2
"2017-07-21 07:00:00",2.16,26477,31567,2
"2017-07-20 07:00:00",20.00,8233571,31547,2
"2017-07-20 07:00:00",8.10,26477,31567,2
"2017-07-19 07:00:00",512.00,8233572,31669,2
"2017-07-19 07:00:00",42.26,618186,31559,2
"2017-07-19 07:00:00",20.23,11838,31584,2
"2017-07-19 07:00:00",20.00,8233573,31547,2
"2017-07-19 07:00:00",15.05,92306,31559,2
"2017-07-19 07:00:00",2.18,26477,31567,2
"2017-07-18 07:00:00",7.00,2786966,31567,2
"2017-07-18 07:00:00",5.60,2786966,31567,2
"2017-07-18 07:00:00",4.33,26477,31567,2
"2017-07-18 07:00:00",30.01,52550,31559,2
"2017-07-18 07:00:00",4.56,26477,31567,2
